,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
36,0.0007564544677734375,0.00017228248605261304,0.014249372482299804,0.0007758110875153197,73,{'n_neighbors': 73},0.7150837988826816,0.7865168539325843,0.797752808988764,0.7584269662921348,0.8089887640449438,0.7733538384282216,0.0336351949175191,35,0.7879213483146067,0.7980364656381487,0.7741935483870968,0.7938288920056101,0.7727910238429172,0.785354255637676,0.010214147603581247,0.5714285714285715,0.6779661016949153,0.6949152542372881,0.6055045871559633,0.7118644067796609,0.6523357842592798,0.0543189091289521,36,0.6807610993657506,0.6949152542372883,0.6552462526766596,0.6838709677419356,0.6400000000000001,0.6709587148043268,0.02020916766750613,0.68,0.8,0.82,0.8048780487804879,0.8571428571428571,0.7924041811846689,0.059666773274540494,13,0.805,0.8282828282828283,0.7927461139896373,0.8324607329842932,0.8135593220338984,0.8144097994581315,0.014675694434717586,0.4927536231884058,0.5882352941176471,0.6029411764705882,0.4852941176470588,0.6086956521739131,0.5555839727195226,0.05480507381427336,36,0.5897435897435898,0.5985401459854015,0.5583941605839416,0.5802919708029197,0.5274725274725275,0.570888478917676,0.02549356148532352,0.7622529644268774,0.8271390374331552,0.8433155080213904,0.830548128342246,0.8864512697779551,0.8299413816003248,0.039905332508980984,35,0.8456281759243034,0.8510674558967792,0.8405633240776149,0.8483780323562177,0.827922077922078,0.8427118132353986,0.00817043757753835
37,0.0007451534271240235,0.0001362377752503301,0.014699220657348633,0.0006358434072132231,75,{'n_neighbors': 75},0.7150837988826816,0.7865168539325843,0.797752808988764,0.7584269662921348,0.8033707865168539,0.7722302429226037,0.032500734146300794,36,0.7879213483146067,0.7924263674614306,0.7713884992987378,0.788218793828892,0.7727910238429172,0.7825492065493169,0.008698803950147233,0.5714285714285715,0.6779661016949153,0.6896551724137931,0.6055045871559633,0.7008547008547009,0.6490818267095888,0.051166262484491395,37,0.6807610993657506,0.6837606837606838,0.6509635974304069,0.6724511930585684,0.6383928571428573,0.6652658861516534,0.017666368938009748,0.68,0.8,0.8333333333333334,0.8048780487804879,0.8541666666666666,0.7944756097560975,0.060524936697131826,11,0.805,0.8247422680412371,0.7875647668393783,0.8288770053475936,0.8171428571428572,0.8126653794742132,0.01495001441015825,0.4927536231884058,0.5882352941176471,0.5882352941176471,0.4852941176470588,0.5942028985507246,0.5497442455242967,0.04968187494485305,37,0.5897435897435898,0.583941605839416,0.5547445255474452,0.5656934306569343,0.5238095238095238,0.5635865351193818,0.02350893949735861,0.7608695652173912,0.826336898395722,0.8405080213903742,0.8301470588235295,0.8834596463236272,0.8282642380301288,0.03935922992996935,37,0.845352824851686,0.8509593801439902,0.8387426633190894,0.846461766124071,0.8261738261738261,0.8415380921225324,0.008618938563294926
38,0.0007609367370605469,0.00010817464755834139,0.014888954162597657,0.00044756925808878546,77,{'n_neighbors': 77},0.7039106145251397,0.7865168539325843,0.8033707865168539,0.7528089887640449,0.7921348314606742,0.7677484150398595,0.03609530768942681,39,0.7837078651685393,0.7896213183730715,0.7713884992987378,0.7924263674614306,0.7685834502103787,0.7811455001024316,0.009577759034700758,0.5391304347826086,0.6779661016949153,0.6956521739130435,0.6,0.6782608695652174,0.6382019159911569,0.0596003139852034,40,0.6709401709401709,0.6767241379310345,0.6509635974304069,0.6796536796536797,0.6292134831460674,0.6614990138202719,0.018994116104184923,0.6739130434782609,0.8,0.851063829787234,0.7857142857142857,0.8478260869565217,0.7917034491872604,0.06426925822932537,15,0.8051282051282052,0.8263157894736842,0.7875647668393783,0.8351063829787234,0.813953488372093,0.8136137265584168,0.01657675780592493,0.4492753623188406,0.5882352941176471,0.5882352941176471,0.4852941176470588,0.5652173913043478,0.5352514919011082,0.057271556329462056,39,0.575091575091575,0.572992700729927,0.5547445255474452,0.572992700729927,0.5128205128205128,0.5577284029838774,0.0236351409578285,0.7609354413702241,0.827072192513369,0.8406417112299465,0.8282085561497325,0.885254620396224,0.8284225043318992,0.03983860242676993,36,0.8463666174372325,0.8499742280897196,0.8377782950634322,0.8462622416573831,0.8255910755910756,0.8411944915677687,0.00877101749027106
39,0.0006663799285888672,1.1314211385445283e-05,0.014868927001953126,0.0008079558892279605,79,{'n_neighbors': 79},0.7150837988826816,0.7865168539325843,0.797752808988764,0.7584269662921348,0.7921348314606742,0.7699830519113677,0.030602935978635136,38,0.7823033707865169,0.7896213183730715,0.7699859747545582,0.788218793828892,0.7671809256661991,0.7794620766818475,0.009258362891233133,0.5486725663716815,0.6779661016949153,0.6896551724137931,0.6055045871559633,0.6782608695652174,0.6400118594403141,0.054592285356857125,39,0.6695095948827291,0.6808510638297872,0.6450216450216449,0.6724511930585684,0.6294642857142857,0.659459556501403,0.01916012544410783,0.7045454545454546,0.8,0.8333333333333334,0.8048780487804879,0.8478260869565217,0.7981165847231594,0.050032139764350295,7,0.8010204081632653,0.8163265306122449,0.7925531914893617,0.8288770053475936,0.8057142857142857,0.8088982842653503,0.012599118829353781,0.4492753623188406,0.5882352941176471,0.5882352941176471,0.4852941176470588,0.5652173913043478,0.5352514919011082,0.057271556329462056,39,0.575091575091575,0.583941605839416,0.5437956204379562,0.5656934306569343,0.5164835164835165,0.5570011497018796,0.02426797074597876,0.756258234519104,0.8274732620320855,0.8377005347593584,0.8251336898395722,0.883925009972078,0.8260981462244397,0.040887641108811774,39,0.8445184276619355,0.8488477462048785,0.8361446884924263,0.8452064246878273,0.8257617382617383,0.8400958050617611,0.008286751964074773
40,0.0006459236145019531,2.40684234604957e-05,0.014178943634033204,0.00018093770538054216,81,{'n_neighbors': 81},0.6983240223463687,0.7865168539325843,0.7921348314606742,0.7528089887640449,0.7865168539325843,0.7632603100872513,0.03533107196441018,42,0.7780898876404494,0.7924263674614306,0.7713884992987378,0.7854137447405329,0.7685834502103787,0.7791803898703059,0.00881485699522702,0.5178571428571429,0.6779661016949153,0.6890756302521008,0.6,0.6666666666666667,0.6303131082941652,0.06420381868717502,43,0.6623931623931624,0.6810344827586207,0.6479481641468682,0.6681127982646421,0.6325167037861916,0.658401062269897,0.01674389139793118,0.6744186046511628,0.8,0.803921568627451,0.7857142857142857,0.8444444444444444,0.7816997806874688,0.05708058461238013,27,0.7948717948717948,0.8315789473684211,0.7936507936507936,0.8235294117647058,0.8068181818181818,0.8100898258947794,0.015198280918336233,0.42028985507246375,0.5882352941176471,0.6029411764705882,0.4852941176470588,0.5507246376811594,0.5294970161977834,0.06808074935890064,41,0.5677655677655677,0.5766423357664233,0.5474452554744526,0.5620437956204379,0.5201465201465202,0.5548086949546803,0.019761688739517166,0.7560606060606061,0.8260695187165775,0.8379010695187166,0.8284090909090909,0.8841909320569074,0.8265262434523797,0.04104573728161066,38,0.84283294533864,0.8475924047686347,0.835575212410422,0.8448447865919558,0.8238886113886115,0.8389467920996527,0.008517646392958551
41,0.0008015632629394531,0.0002650485521692085,0.014391899108886719,0.0004425306507944408,83,{'n_neighbors': 83},0.6927374301675978,0.7921348314606742,0.7808988764044944,0.7528089887640449,0.7921348314606742,0.7621429916514971,0.037563438867986215,43,0.776685393258427,0.791023842917251,0.7713884992987378,0.7868162692847125,0.7643758765778401,0.7780579762673936,0.00978148407580277,0.5132743362831859,0.6890756302521008,0.6666666666666666,0.6,0.6782608695652174,0.6294555005534341,0.06585876439353007,44,0.6595289079229121,0.6781857451403887,0.6479481641468682,0.6724137931034483,0.6233183856502242,0.6562789991927683,0.019527436375371438,0.6590909090909091,0.803921568627451,0.7959183673469388,0.7857142857142857,0.8478260869565217,0.7784942435472212,0.063350357141275,32,0.7938144329896907,0.8306878306878307,0.7936507936507936,0.8210526315789474,0.8034682080924855,0.8085347793999496,0.014908695983025806,0.42028985507246375,0.6029411764705882,0.5735294117647058,0.4852941176470588,0.5652173913043478,0.5294543904518328,0.06706553948468487,42,0.5641025641025641,0.572992700729927,0.5474452554744526,0.5693430656934306,0.5091575091575091,0.5526082190315766,0.023419319105258636,0.7546772068511199,0.8262032085561499,0.8381684491978612,0.8270721925133689,0.8808004254753357,0.8253842965187672,0.040589146449108,40,0.8421779435446861,0.8463536903712817,0.8333887567963022,0.8431405151056649,0.8227314352314353,0.837558468209874,0.008568338613762213
42,0.000813436508178711,0.00028763264018924316,0.014956903457641602,0.0010340122069008668,85,{'n_neighbors': 85},0.6983240223463687,0.7921348314606742,0.7808988764044944,0.7528089887640449,0.797752808988764,0.7643839055928693,0.036480758586984664,41,0.773876404494382,0.7868162692847125,0.7713884992987378,0.7840112201963534,0.7657784011220197,0.7763741588792411,0.007883248520132452,0.5178571428571429,0.6890756302521008,0.6666666666666666,0.6,0.6842105263157895,0.63156199321834,0.06517204460756902,42,0.653763440860215,0.6724137931034483,0.6464208242950108,0.6652173913043479,0.6247191011235954,0.6525069101373234,0.01654461822494111,0.6744186046511628,0.803921568627451,0.7959183673469388,0.7857142857142857,0.8666666666666667,0.785327898601301,0.06224933503774042,21,0.7916666666666666,0.8210526315789474,0.7967914438502673,0.8225806451612904,0.8081395348837209,0.8080461844281785,0.012452989345305225,0.42028985507246375,0.6029411764705882,0.5735294117647058,0.4852941176470588,0.5652173913043478,0.5294543904518328,0.06706553948468487,42,0.5567765567765568,0.5693430656934306,0.5437956204379562,0.5583941605839416,0.5091575091575091,0.5474933825298789,0.020812138632714066,0.7538208168642951,0.828475935828877,0.8377673796791445,0.8247326203208557,0.8794708150511901,0.8248535135488725,0.04051813944014722,42,0.840822048111342,0.8436725803501655,0.8318673827378081,0.8421636765708396,0.8216991341991342,0.836044964393858,0.008266737266834146
43,0.0006741046905517578,3.560782875709528e-05,0.014309120178222657,0.0001978822155922839,87,{'n_neighbors': 87},0.7150837988826816,0.7808988764044944,0.7865168539325843,0.7528089887640449,0.7921348314606742,0.7654886698888959,0.028604552959691394,40,0.7794943820224719,0.782608695652174,0.7643758765778401,0.7854137447405329,0.7657784011220197,0.7755342200230076,0.008752379425082635,0.5486725663716815,0.6666666666666666,0.6724137931034482,0.6,0.6782608695652174,0.6332027791414028,0.05086324470672905,41,0.6609071274298057,0.6652267818574514,0.6363636363636364,0.6666666666666667,0.6247191011235954,0.6507766626882312,0.0170332400255964,0.7045454545454546,0.7959183673469388,0.8125,0.7857142857142857,0.8478260869565217,0.78930083891264,0.047336108753060546,16,0.8052631578947368,0.8148148148148148,0.7819148936170213,0.827027027027027,0.8081395348837209,0.8074318856474643,0.014797285146700956,0.4492753623188406,0.5735294117647058,0.5735294117647058,0.4852941176470588,0.5652173913043478,0.5293691389599318,0.05204416805924805,44,0.5604395604395604,0.5620437956204379,0.5364963503649635,0.5583941605839416,0.5091575091575091,0.5453062752332825,0.020321425726476,0.7501976284584981,0.8278074866310161,0.8394385026737968,0.8232620320855616,0.8776758409785932,0.8236762981654933,0.04142644312855675,46,0.8402880339099017,0.8423341037194686,0.8314558635252649,0.8421387360125036,0.82250666000666,0.8357446794347597,0.007727685838520814
44,0.0006458282470703125,2.785088241607543e-05,0.014513778686523437,0.0004618770937127255,89,{'n_neighbors': 89},0.7094972067039106,0.7808988764044944,0.7752808988764045,0.7471910112359551,0.7865168539325843,0.7598769694306698,0.028593492578498553,44,0.7780898876404494,0.7784011220196353,0.7629733520336606,0.7854137447405329,0.7601683029453016,0.7730092818759159,0.009740285639803899,0.5357142857142857,0.6666666666666666,0.6551724137931034,0.5871559633027523,0.6607142857142858,0.6210847230382187,0.05147709935478215,45,0.658008658008658,0.658008658008658,0.6349892008639308,0.6607538802660754,0.6104783599088838,0.6444477514112412,0.0193756029646287,0.6976744186046512,0.7959183673469388,0.7916666666666666,0.7804878048780488,0.8604651162790697,0.7852424747550749,0.05197011076724903,22,0.8042328042328042,0.8085106382978723,0.7777777777777778,0.8418079096045198,0.8072289156626506,0.8079116091151249,0.02035369985830122,0.43478260869565216,0.5735294117647058,0.5588235294117647,0.47058823529411764,0.5362318840579711,0.5147911338448423,0.053299161829974566,45,0.5567765567765568,0.5547445255474452,0.5364963503649635,0.5437956204379562,0.4908424908424908,0.5365311087938824,0.024007627378571268,0.7493412384716732,0.8289438502673797,0.8379679144385027,0.820788770053476,0.8792048929663608,0.8232493332394786,0.04206792047259104,47,0.8389529984063013,0.8416191410471708,0.8309362685599321,0.8411743677568463,0.8213786213786212,0.8348122794297744,0.007738755914239308
45,0.0006594657897949219,2.6164850456137285e-05,0.014693975448608398,0.00015391044848861676,91,{'n_neighbors': 91},0.7039106145251397,0.7808988764044944,0.7696629213483146,0.7359550561797753,0.7921348314606742,0.7565124599836797,0.032330005525511546,46,0.773876404494382,0.7755960729312763,0.7545582047685835,0.7798036465638148,0.7559607293127629,0.7679590116141639,0.010556287448221083,0.5225225225225225,0.6608695652173914,0.6434782608695653,0.5688073394495413,0.6666666666666666,0.6124688709451374,0.056988218883726106,47,0.6477024070021883,0.6521739130434782,0.6153846153846154,0.6518847006651884,0.6009174311926606,0.6336126134576262,0.021345482671768733,0.6904761904761905,0.8085106382978723,0.7872340425531915,0.7560975609756098,0.8809523809523809,0.7846541626510489,0.06250456623451771,23,0.8043478260869565,0.8064516129032258,0.7734806629834254,0.8305084745762712,0.803680981595092,0.8036939116289942,0.018110184247513608,0.42028985507246375,0.5588235294117647,0.5441176470588235,0.45588235294117646,0.5362318840579711,0.5030690537084399,0.054721663625849744,48,0.5421245421245421,0.5474452554744526,0.5109489051094891,0.5364963503649635,0.47985347985347987,0.5233737065853854,0.02510626577415626,0.747562582345191,0.8307486631016041,0.8399064171122995,0.8219251336898397,0.8800691397420556,0.824042387198198,0.04310285813027125,44,0.8394077448747153,0.8406506160317909,0.8304956520293301,0.8409208054137638,0.8190268065268066,0.8341003249752813,0.008459297817069687
